trialNumber,checkTrial,gainValue,lossValue,safeValue,choiceProbability,type_e0i1d2,choiceMade,choiceKey,outcomeValue,location,riskSplitLocation,gainLocation,lossLocation,safeLocation,hideGainLocation,hideLossLocation,instructionStart,instructionEnd,choiceStart,choiceEnd,isiStart,isiEnd,outcomeStart,outcomeEnd,itiStart,itiEnd,bestRho,bestMu
,,,,,,,,,,,,,,,,,0.0067120297862857115,0.750264376783889,,,,,,,,,,
,,,,,,,,,,,,,,,,,0.7534720562543953,2.406114737746975,,,,,,,,,,
1,,18.23,0,9.45,,,0,n,9.45,1,"[-0.35, 0]","[-0.35, 0.1]","[-0.35, -0.1]","[0.35, 0]","[-0.35, 0.15]","[-0.35, -0.15]",,,2.447342899751675,3.1740952230466064,3.1765712987762527,4.17654206622683,4.179691675639333,5.179422657198302,5.18181893597648,8.181208212765341,,
2,,53.27,0,35.16,,,1,v,53.27,1,"[-0.35, 0]","[-0.35, 0.1]","[-0.35, -0.1]","[0.35, 0]","[-0.35, 0.15]","[-0.35, -0.15]",,,8.204502207256155,8.597776351263747,8.600638770654768,9.600092438053252,9.609068410085456,10.609045103054086,10.61150774761336,14.11081070938235,,
,,,,,,,,,,,,,,,,,14.11398599603126,14.533344262617902,,,,,,,,,,
1,0,11.43,0,6.29,,,0,v,6.29,2,"[0.35, 0]","[0.35, 0.1]","[0.35, -0.1]","[-0.35, 0]","[0.35, 0.15]","[0.35, -0.15]",,,14.557045142559218,16.397226463355764,16.399839616027748,17.399579288347013,17.40258550026192,18.402510443724168,18.40534876601305,21.904288691152033,,
2,0,15.70,0,10.15,,,1,n,0,2,"[0.35, 0]","[0.35, 0.1]","[0.35, -0.1]","[-0.35, 0]","[0.35, 0.15]","[0.35, -0.15]",,,21.925476362128393,22.30873954393246,22.311117256092984,23.310185369900864,23.31412267793712,24.314076853945153,24.316515006368718,27.815900530335057,,
3,0,17.94,0,9.03,,,1,v,17.94,1,"[-0.35, 0]","[-0.35, 0.1]","[-0.35, -0.1]","[0.35, 0]","[-0.35, 0.15]","[-0.35, -0.15]",,,27.83596393335756,28.14041932903274,28.143333102896577,29.14276030299152,29.14554450556534,30.144702292185684,30.14727594141732,33.14648824278993,,
4,0,22.97,0,6.51,,,1,n,0,2,"[0.35, 0]","[0.35, 0.1]","[0.35, -0.1]","[-0.35, 0]","[0.35, 0.15]","[0.35, -0.15]",,,33.15814491837591,33.57197902367261,33.57443258243802,34.574400189616426,34.57792547675854,35.57733055492645,35.57982835754592,39.079097741392616,,
5,0,21.32,0,7.34,,,1,n,0,2,"[0.35, 0]","[0.35, 0.1]","[0.35, -0.1]","[-0.35, 0]","[0.35, 0.15]","[0.35, -0.15]",,,39.097384674638306,39.56356676575524,39.565731554361264,40.56498414924499,40.56881084764609,41.567891207520006,41.57049803964037,45.0696662946757,,
