trialNumber,checkTrial,gainValue,lossValue,safeValue,choiceProbability,type_e0i1d2,choiceMade,choiceKey,outcomeValue,location,riskSplitLocation,gainLocation,lossLocation,safeLocation,hideGainLocation,hideLossLocation,instructionStart,instructionEnd,choiceStart,choiceEnd,isiStart,isiEnd,outcomeStart,outcomeEnd,itiStart,itiEnd,bestRho,bestMu
,,,,,,,,,,,,,,,,,0.004764333018101752,3.79112433292903,,,,,,,,,,
,,,,,,,,,,,,,,,,,3.799212542013265,5.459141957922839,,,,,,,,,,
1,,18.23,0,9.45,,,1,n,0,2,"[0.35, 0]","[0.35, 0.1]","[0.35, -0.1]","[-0.35, 0]","[0.35, 0.15]","[0.35, -0.15]",,,5.512480000033975,6.109633291955106,6.112268332974054,7.1122979579959065,7.116997207980603,8.117038875003345,8.121034874930046,11.121092207962647,,
2,,53.27,0,35.16,,,0,v,35.16,2,"[0.35, 0]","[0.35, 0.1]","[0.35, -0.1]","[-0.35, 0]","[0.35, 0.15]","[0.35, -0.15]",,,11.178306041983888,11.55357412493322,11.558133999933489,12.558153499965556,12.56093024997972,13.560958457994275,13.564780124928802,17.064835499972105,,
,,,,,,,,,,,,,,,,,17.07439470803365,17.70144283294212,,,,,,,,,,
1,0,10.55,0,6.73,,,1,v,10.55,1,"[-0.35, 0]","[-0.35, 0.1]","[-0.35, -0.1]","[0.35, 0]","[-0.35, 0.15]","[-0.35, -0.15]",,,17.722113957977854,18.366777166957036,18.37014899996575,19.37018095795065,19.374646582989953,20.374688750016503,20.377801332972012,23.37782974995207,,
2,0,13.04,0,5.48,,,1,n,13.04,2,"[0.35, 0]","[0.35, 0.1]","[0.35, -0.1]","[-0.35, 0]","[0.35, 0.15]","[0.35, -0.15]",,,23.389313083025627,23.748357707983814,23.751377791981213,24.751405582996085,24.75647562497761,25.756500291987322,25.75979375001043,28.7598128329264,,
3,0,22.97,0,6.51,,,1,v,0,1,"[-0.35, 0]","[-0.35, 0.1]","[-0.35, -0.1]","[0.35, 0]","[-0.35, 0.15]","[-0.35, -0.15]",,,28.772611249936745,29.112275667022914,29.116192874964327,30.11622433294542,30.119755208026618,31.119789624935947,31.123367249965668,34.62341404194012,,
4,0,11.43,0,6.29,,,1,n,11.43,2,"[0.35, 0]","[0.35, 0.1]","[0.35, -0.1]","[-0.35, 0]","[0.35, 0.15]","[0.35, -0.15]",,,34.6354943329934,34.98467695794534,34.98903416702524,35.98907683300786,35.99325958301779,36.9932900830172,36.99673312494997,40.496746417018585,,
5,0,19.86,0,8.07,,,0,v,8.07,2,"[0.35, 0]","[0.35, 0.1]","[0.35, -0.1]","[-0.35, 0]","[0.35, 0.15]","[0.35, -0.15]",,,40.508916083024815,40.92358762503136,40.92855787498411,41.92858474992681,41.93216291698627,42.932211874984205,42.935934207984246,45.935957583016716,,
6,0,11.62,0,6.19,,,1,v,0,1,"[-0.35, 0]","[-0.35, 0.1]","[-0.35, -0.1]","[0.35, 0]","[-0.35, 0.15]","[-0.35, -0.15]",,,45.94883008301258,46.38540083297994,46.38863283302635,47.388677250011824,47.393614750006236,48.39367137500085,48.39684679196216,51.8968798329588,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,124,1
,,,,,,,,,,,,,,,,,52.19366341701243,56.193817624938674,,,,,,,,,,
,,,,,,,,,,,,,,,,,56.20172949996777,65.07741404196713,,,,,,,,,,
1,,8.33,0,5.23,0.493003758541852,2,1,n,8.33,2,"[0.35, 0]","[0.35, 0.1]","[0.35, -0.1]","[-0.35, 0]","[0.35, 0.15]","[0.35, -0.15]",,,65.10419074993115,65.63970470800996,65.64394708292093,66.6439919170225,66.64926029194612,67.64929500001017,67.65268737496808,71.15269745793194,,
2,,14.37,0,1.79,0.959935279705907,0,0,v,1.79,2,"[0.35, 0]","[0.35, 0.1]","[0.35, -0.1]","[-0.35, 0]","[0.35, 0.15]","[0.35, -0.15]",,,71.16424045793246,72.45039241702762,72.45899204199668,73.45905208296608,73.46253270795569,74.4625629580114,74.4660984169459,77.96614154195413,,
3,,17.18,0,10.75,0.499107570029987,2,1,n,0,2,"[0.35, 0]","[0.35, 0.1]","[0.35, -0.1]","[-0.35, 0]","[0.35, 0.15]","[0.35, -0.15]",,,77.9842422499787,78.31341720803175,78.31645675003529,79.31649708293844,79.32069920795038,80.32073466700967,80.32338187494315,83.32339604198933,,
,,,,,,,,,,,,,,,,,3.799212542013265,114.09537741693202,,,,,,,,,,
,,,,,,,,,,,,,,,,,3.799212542013265,121.11133595800493,,,,,,,,,,
,,,,,,,,,,,,,,,,,3.799212542013265,143.5875365419779,,,,,,,,,,
4,,12.44,0,6.13,0.738033327153207,1,1,n,12.44,2,"[0.35, 0]","[0.35, 0.1]","[0.35, -0.1]","[-0.35, 0]","[0.35, 0.15]","[0.35, -0.15]",,,143.60863741696812,144.08664920798037,144.09084241697565,145.09085533302277,145.09618845803197,146.0962271669414,146.09958795795683,149.09963883296587,,
5,,10.59,0,10.20,0.0420139672202213,0,1,v,0,1,"[-0.35, 0]","[-0.35, 0.1]","[-0.35, -0.1]","[0.35, 0]","[-0.35, 0.15]","[-0.35, -0.15]",,,149.11141050001606,149.8946950000245,149.89881345792674,150.89884195802733,150.9039394169813,151.90399566700216,151.90774404199328,155.40780041692778,,
6,,0.99,0,0.69,0.340869777051051,1,0,n,0.69,1,"[-0.35, 0]","[-0.35, 0.1]","[-0.35, -0.1]","[0.35, 0]","[-0.35, 0.15]","[-0.35, -0.15]",,,155.42001200001687,155.87934454192873,155.88357524992898,156.88359079195652,156.88687804201618,157.88693549996242,157.8895211670315,160.8895638330141,,
,,,,,,,,,,,,,,,,,160.89763158292044,162.56116949999705,,,,,,,,,,
,,,,,,,,,,,,,,,,,162.5717534580035,163.30995587492362,,,,,,,,,,
